stress_multiplier,method,short,seed,sweep_episode_id,violation_rate,violation_count,known_static_violation_rate,known_static_violation_count,uncertain_true_violation_rate,uncertain_true_violation_count,min_clearance_cm,min_known_static_clearance_cm,min_uncertain_true_clearance_cm,cost,belief_center_rmse_cm,goal_error_cm,reached
2.6,AC,AC,4,2000,0.0,0,0.0,0,0.0,0,0.597267021229822,2.390738666071509,0.597267021229822,6.34799929852975,6.003287551861723,4.372477563530191,1
3.0,AC,AC,4,2000,0.0,0,0.0,0,0.0,0,0.0977279870494535,2.4003523718633155,0.0977279870494535,6.335861299793635,6.896702739284022,5.029173644223333,1
3.5,AC,AC,4,2000,0.0071428571428571,2,0.0,0,0.0071428571428571,2,-0.3068229552535606,2.4136153556326483,-0.3068229552535606,16.725190746763168,7.87700952566359,4.557455846087913,1
4.0,AC,AC,4,2000,0.0071428571428571,2,0.0,0,0.0071428571428571,2,-0.6521606758363302,2.4283411258433056,-0.6521606758363302,16.705489533032488,9.254637761518088,4.748815348200661,1
4.5,AC,AC,4,2000,0.0107142857142857,3,0.0,0,0.0107142857142857,3,-0.994720940589086,2.4446214125177623,-0.994720940589086,21.90491131120513,10.22455367024614,4.455801679253113,1
0.8,AC+CBF,AC+CBF,0,2000,0.0,0,0.0,0,0.0,0,2.497174628820309,5.254985194847643,2.497174628820309,6.801903983605016,2.5900491704454374,4.842858489736825,1
1.0,AC+CBF,AC+CBF,0,2000,0.0,0,0.0,0,0.0,0,1.956810382954635,5.467904085362456,1.956810382954635,6.76394911767529,3.20404484914235,4.874172187952806,1
1.3,AC+CBF,AC+CBF,0,2000,0.0,0,0.0,0,0.0,0,1.0992918890553427,5.879667272703718,1.0992918890553427,6.726393164551925,4.152855261987727,4.938074973828707,1
1.6,AC+CBF,AC+CBF,0,2000,0.0,0,0.0,0,0.0,0,0.340348859458589,6.16175850404608,0.340348859458589,6.718012218142255,5.38087194225819,4.908079886205418,1
2.0,AC+CBF,AC+CBF,0,2000,0.0035714285714285,1,0.0,0,0.0035714285714285,1,-0.5479689250594694,6.63381077484516,-0.5479689250594694,11.87281519952312,6.437360586596376,4.949531313673296,1
2.2,AC+CBF,AC+CBF,0,2000,0.0071428571428571,2,0.0,0,0.0071428571428571,2,-0.7429080665575973,6.856070038271403,-0.7429080665575973,17.06793055431045,7.033836767679544,4.945144084680014,1
2.6,AC+CBF,AC+CBF,0,2000,0.0107142857142857,3,0.0,0,0.0107142857142857,3,-0.8291596189548917,6.7627935117320686,-0.8291596189548917,22.23878881377676,8.165712421360377,4.842429895598855,1
3.0,AC+CBF,AC+CBF,0,2000,0.0107142857142857,3,0.0,0,0.0107142857142857,3,-1.2595484596629625,6.555918746958963,-1.2595484596629625,22.205282163353942,9.456268870171884,5.4658245472574425,1
3.5,AC+CBF,AC+CBF,0,2000,0.0107142857142857,3,0.0,0,0.0107142857142857,3,-1.4851843553639026,5.980935761258254,-1.4851843553639026,22.213252455827572,11.21624221728463,5.088889656426294,1
4.0,AC+CBF,AC+CBF,0,2000,0.0142857142857142,4,0.0,0,0.0142857142857142,4,-0.7261776463220376,6.404420956200012,-0.7261776463220376,27.35078672073838,12.710477410533066,5.086459075289008,1
4.5,AC+CBF,AC+CBF,0,2000,0.0107142857142857,3,0.0,0,0.0107142857142857,3,-1.037640733102134,4.787251339406171,-1.037640733102134,22.25862370713417,14.475171993328145,5.1738076692969965,1
0.8,AC+CBF,AC+CBF,1,2000,0.0,0,0.0,0,0.0,0,2.825654081697493,3.9482922523701856,2.825654081697493,6.973135451744581,1.729676750647029,4.502441163188626,1
1.0,AC+CBF,AC+CBF,1,2000,0.0,0,0.0,0,0.0,0,2.499671323664129,3.8854998183642655,2.499671323664129,6.983821776259807,2.1263858111827343,4.50206939127165,1
1.3,AC+CBF,AC+CBF,1,2000,0.0,0,0.0,0,0.0,0,2.03218053429097,3.573304864321372,2.03218053429097,7.027355937498887,2.8008171283764045,4.5056716520993865,1
1.6,AC+CBF,AC+CBF,1,2000,0.0,0,0.0,0,0.0,0,1.768364702633582,3.829234841898784,1.768364702633582,6.991680580978911,3.5196108303477835,4.549296824853196,1
2.0,AC+CBF,AC+CBF,1,2000,0.0,0,0.0,0,0.0,0,1.6440219386398145,3.691287675626665,1.6440219386398145,7.032897030868164,4.383726603840247,4.588243285209638,1
2.2,AC+CBF,AC+CBF,1,2000,0.0,0,0.0,0,0.0,0,1.002449299762331,2.9908009112917493,1.002449299762331,7.256757405566039,4.300334798815023,4.515848341507651,1
2.6,AC+CBF,AC+CBF,1,2000,0.0,0,0.0,0,0.0,0,0.8622828632505103,2.81323632899049,0.8622828632505103,7.361709800123584,5.064739436656217,4.587573293324346,1
3.0,AC+CBF,AC+CBF,1,2000,0.0,0,0.0,0,0.0,0,0.5754187984029102,2.675397256180814,0.5754187984029102,7.456283370732841,5.83032849505606,4.633780272141803,1
3.5,AC+CBF,AC+CBF,1,2000,0.0,0,0.0,0,0.0,0,0.3439351789027822,2.585580557499692,0.3439351789027822,7.592306829796838,6.7886533764522365,4.547354348258155,1
4.0,AC+CBF,AC+CBF,1,2000,0.0,0,0.0,0,0.0,0,0.2783726390451518,2.3405082450704637,0.2783726390451518,8.278728375603752,8.296777001971353,4.371391989646464,1
4.5,AC+CBF,AC+CBF,1,2000,0.0,0,0.0,0,0.0,0,0.3333102266790594,2.4004406230807045,0.3333102266790594,8.348451575726584,9.132644136806098,4.321923594563048,1
0.8,AC+CBF,AC+CBF,2,2000,0.0,0,0.0,0,0.0,0,2.3945774620861893,3.974672726672726,2.3945774620861893,7.071701350240381,1.8113991952298127,4.774288919079284,1
1.0,AC+CBF,AC+CBF,2,2000,0.0,0,0.0,0,0.0,0,2.1052331828958213,3.777051710876843,2.1052331828958213,7.070444077702853,2.235633754966818,4.750001063088296,1
1.3,AC+CBF,AC+CBF,2,2000,0.0,0,0.0,0,0.0,0,1.8931662204708792,3.7541496074975504,1.8931662204708792,7.120236491753452,2.9896068457902687,4.752438530683902,1
1.6,AC+CBF,AC+CBF,2,2000,0.0,0,0.0,0,0.0,0,0.5530902288559181,3.3218409157673072,0.5530902288559181,7.236092369840422,3.568745282590401,4.8998377463615945,1
2.0,AC+CBF,AC+CBF,2,2000,0.0,0,0.0,0,0.0,0,0.0419705053057245,3.256095350107705,0.0419705053057245,7.239777067860804,4.762291098754162,4.69142365280994,1
