configuration_order,configuration,perturbed_component,perturbation_percent,weight_td,weight_safety,weight_uncertainty,weight_novelty,evaluation,method,seed,training_epochs,training_episode_ids,evaluation_episode_id,stress,disturbance_stress,posthoc_descriptive_only,short,label,episode_id,cost,sensor_stream_hash,sensor_hold_fraction,sensor_observable_jump_mean,sensor_hidden_event_count,violation_rate,violation_count,known_static_violation_rate,known_static_violation_count,uncertain_true_violation_rate,uncertain_true_violation_count,min_clearance_cm,min_known_static_clearance_cm,min_uncertain_true_clearance_cm,mean_clearance_cm,goal_error_cm,reached,first_reach_step,path_length_m,mean_cbf_correction,cbf_intervention_rate,raw_sensor_rmse_cm,belief_center_rmse_cm,runtime_ms_per_episode,obs1_belief_rmse_cm,obs2_belief_rmse_cm,violation_rate_pct,cbf_intervention_pct
3,safety_minus20,safety,-20,0.1952277657266811,0.33839479392624733,0.32537960954446854,0.14099783080260303,moderate,Full,2,10,0-9,1001,2.2000000000000002,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,7.0039853467258721,8e1029a16f14a94846951373cb2afde3d63eff7f641e6be3f1903e0527a0d318,0.0625,0.19749822277187395,102,0,0,0,0,0,0,4.2059711174153112,4.2059711174153112,5.0338612802380336,14.34860071556745,3.5509391984767547,1,159,4.3308111624774472,0.044673023892325241,0.18571428571428572,6.1424837488873107,3.4949096852934383,189.47399998432957,4.0248233551053758,2.8687252180914893,0,18.571428571428573
3,safety_minus20,safety,-20,0.1952277657266811,0.33839479392624733,0.32537960954446854,0.14099783080260303,moderate,Full,3,10,0-9,1001,2.2000000000000002,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,7.3662280230023169,b5bc777e80af2240cb24b947317bb3ab60d0fa04a4801a82412f2c22a8c37ea0,0.064285714285714279,0.19533851428819332,105,0,0,0,0,0,0,3.4848881174439259,3.4848881174439259,6.4624264909671352,14.099293712819625,4.3637528017307812,1,170,4.4191396379158334,0.061913762966053429,0.25357142857142856,5.0922953048920592,3.2350860411812259,201.46250000107102,3.192675431580168,3.2769478140909762,0,25.357142857142854
3,safety_minus20,safety,-20,0.1952277657266811,0.33839479392624733,0.32537960954446854,0.14099783080260303,moderate,Full,4,10,0-9,1001,2.2000000000000002,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,6.7865638921200002,fb6c84dbaf5cd6dac320f65454aa46cc52161533e0103ae360110483137d2486,0.074999999999999956,0.19546318535899598,108,0,0,0,0,0,0,4.1010891827258087,4.9370366164418176,4.1010891827258087,14.714890102376406,4.869544236781862,1,158,4.3402606659120551,0.043029414156264635,0.19642857142857142,6.4519625589913181,3.2624397739896853,199.75549998343922,3.0527141229329899,3.4594743880342866,0,19.642857142857142
4,safety_plus20,safety,20,0.16697588126159557,0.43413729128014844,0.2782931354359926,0.12059369202226347,exploratory_extreme,Full,0,10,0-9,1001,6,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,7.6163911496774128,4b2b7a53999e0e21acc8e7d4f9d977def8dcb7227d8607a11766c0fb7e132fdb,0.14464285714285718,0.29707338551337847,102,0,0,0,0,0,0,2.595931096022988,2.595931096022988,7.1156041356683044,14.472261848793986,5.3428285487251026,1,173,4.4370734684587871,0.07738623323756752,0.29285714285714287,17.033498679676352,2.9838676326568598,204.54089998384006,3.5050567132992492,2.3497892533140852,0,29.285714285714288
4,safety_plus20,safety,20,0.16697588126159557,0.43413729128014844,0.2782931354359926,0.12059369202226347,exploratory_extreme,Full,1,10,0-9,1001,6,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,7.5709282178826438,f20dbe1a3f65da6f77a7c5fac2cbc471528df01f2a29fbaa882d666d1df876a1,0.13214285714285712,0.3143754537926603,106,0,0,0,0,0,0,2.9351818801853837,2.9351818801853837,6.8227391464776268,14.239583010216514,4.4375368495832443,1,175,4.3945742864997985,0.074086294306046616,0.30357142857142855,17.137587195985315,3.9301971711631682,207.04890001798049,3.5923874126431254,4.2411852454144423,0,30.357142857142854
4,safety_plus20,safety,20,0.16697588126159557,0.43413729128014844,0.2782931354359926,0.12059369202226347,exploratory_extreme,Full,2,10,0-9,1001,6,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,7.1795299904066159,d3065e68e7cb4fb92529011bc8a9d1f295ea72b8472b0014248bd205efc7ac7b,0.1160714285714286,0.30762553614912591,104,0,0,0,0,0,0,2.8536968449664717,2.8536968449664717,6.6073592952335201,14.179567041348148,3.6102973147883413,1,164,4.3438662584297072,0.057573209360472562,0.20714285714285716,17.872855851595784,3.9516878553070129,203.05499999085441,4.7019518081561147,3.0204839025128614,0,20.714285714285715
4,safety_plus20,safety,20,0.16697588126159557,0.43413729128014844,0.2782931354359926,0.12059369202226347,exploratory_extreme,Full,3,10,0-9,1001,6,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,8.328058677463515,9cd8996272aa3ca8c9b31c986e40de9c6859295fab3e61fc583f3256561c5903,0.17321428571428577,0.30534112087765553,102,0,0,0,0,0,0,2.3848705782781447,2.3848705782781447,7.2502270856674711,13.366716177032382,4.7118380155244433,1,187,4.4120897176315097,0.10225300477545515,0.3392857142857143,13.999210472268727,2.6021368900802133,218.6443000100553,2.1578695049509617,2.980911268225765,0,33.928571428571431
4,safety_plus20,safety,20,0.16697588126159557,0.43413729128014844,0.2782931354359926,0.12059369202226347,exploratory_extreme,Full,4,10,0-9,1001,6,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,7.4886394183421769,9129723395e79e9e894db5a6f1d857714ef1f264d2b4322fe2b8189179f5b62c,0.13214285714285712,0.32037904141502532,105,0,0,0,0,0,0,2.7279416747165524,2.7279416747165524,7.0129304155954166,14.229016319500429,4.9830409978469561,1,170,4.4000824697746008,0.07815302985226498,0.26428571428571429,17.497046383388739,3.9617077648955314,199.54520001192577,4.0486581190179276,3.8728057354038961,0,26.428571428571431
4,safety_plus20,safety,20,0.16697588126159557,0.43413729128014844,0.2782931354359926,0.12059369202226347,moderate,Full,0,10,0-9,1001,2.2000000000000002,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,6.7447513614905281,919d0407e563ea0029f2f89be5f8842c5b235027d56d34aaaa2e6162b26bd2b0,0.082142857142857184,0.19221087402784509,115,0,0,0,0,0,0,3.4838092345675422,5.0852924933980113,3.4838092345675422,14.816086369348985,5.2127146414753875,1,157,4.3475565532335638,0.041561340166018472,0.19642857142857142,6.2360390816550977,3.6459516779886556,201.30780001636595,3.7466812579555855,3.5423589354751912,0,19.642857142857142
4,safety_plus20,safety,20,0.16697588126159557,0.43413729128014844,0.2782931354359926,0.12059369202226347,moderate,Full,1,10,0-9,1001,2.2000000000000002,1,True,Full,actor-critic + CBF + online uncertainty estimation + adaptive replay,1001,6.9598420676995749,548fc84d998080b345581df7cd8a791dc6e29113a6e9f3dab1fb2daee5efbebc,0.057142857142857162,0.19320578384570397,98,0,0,0,0,0,0,3.5054334546986503,5.4586149197637965,3.5054334546986503,14.308979336332051,4.2612225553406446,1,164,4.3440676612817786,0.048145932749526277,0.25357142857142856,6.1211589281923811,3.6775196885482684,208.06470001116395,3.283541505664203,4.0331944287252961,0,25.357142857142854
