method,short,seed,waypoint,x,y
AC+CBF+PER,AC+CBF+PER,2,1,0.3209953749532941,2.46
AC+CBF+PER,AC+CBF+PER,2,2,0.5305539369878922,2.157428625998253
AC+CBF+PER,AC+CBF+PER,2,3,0.77,1.8714689155859645
AC+CBF+PER,AC+CBF+PER,2,4,0.9233689445832752,1.581690436720901
AC+CBF+PER,AC+CBF+PER,2,5,1.0257151127304045,1.2412452452766567
AC+CBF+PER,AC+CBF+PER,2,6,1.11,0.89
AC+CBF+PER,AC+CBF+PER,2,7,1.549041076712128,0.77
AC+CBF+PER,AC+CBF+PER,2,8,2.02,0.78
AC+CBF+PER,AC+CBF+PER,2,9,2.16,1.0543197832397455
AC+CBF+PER,AC+CBF+PER,2,10,1.889999999999711,1.33
AC+CBF+PER,AC+CBF+PER,2,11,1.62,1.58
AC+CBF+PER,AC+CBF+PER,3,0,0.22,2.82
AC+CBF+PER,AC+CBF+PER,3,1,0.3224830883662846,2.46
AC+CBF+PER,AC+CBF+PER,3,2,0.53,2.144521919308487
AC+CBF+PER,AC+CBF+PER,3,3,0.77,1.844277654162465
AC+CBF+PER,AC+CBF+PER,3,4,0.9154337474466324,1.543781441457196
AC+CBF+PER,AC+CBF+PER,3,5,1.0118371761882667,1.217976184477166
AC+CBF+PER,AC+CBF+PER,3,6,1.11,0.89
AC+CBF+PER,AC+CBF+PER,3,7,1.543214437601538,0.77
AC+CBF+PER,AC+CBF+PER,3,8,2.02,0.78
AC+CBF+PER,AC+CBF+PER,3,9,2.16,1.0585394704279132
AC+CBF+PER,AC+CBF+PER,3,10,1.8899999999995631,1.33
AC+CBF+PER,AC+CBF+PER,3,11,1.62,1.58
AC+CBF+PER,AC+CBF+PER,4,0,0.22,2.82
AC+CBF+PER,AC+CBF+PER,4,1,0.3199271131620768,2.46
AC+CBF+PER,AC+CBF+PER,4,2,0.53,2.146054598057183
AC+CBF+PER,AC+CBF+PER,4,3,0.77,1.846197081956796
AC+CBF+PER,AC+CBF+PER,4,4,0.9260413179581805,1.5428737548753024
AC+CBF+PER,AC+CBF+PER,4,5,1.0262510773398672,1.2175128919098226
AC+CBF+PER,AC+CBF+PER,4,6,1.11,0.89
AC+CBF+PER,AC+CBF+PER,4,7,1.546384224907952,0.77
AC+CBF+PER,AC+CBF+PER,4,8,2.02,0.78
AC+CBF+PER,AC+CBF+PER,4,9,2.16,1.0608554722207275
AC+CBF+PER,AC+CBF+PER,4,10,1.8899999999995605,1.33
AC+CBF+PER,AC+CBF+PER,4,11,1.62,1.58
AC+CBF+UE,AC+CBF+UE,0,0,0.22,2.82
AC+CBF+UE,AC+CBF+UE,0,1,0.3708483284639227,2.46
AC+CBF+UE,AC+CBF+UE,0,2,0.562257878152487,2.1802297107210995
AC+CBF+UE,AC+CBF+UE,0,3,0.77,1.910686036497245
AC+CBF+UE,AC+CBF+UE,0,4,0.9214517859721044,1.6179643573330234
AC+CBF+UE,AC+CBF+UE,0,5,1.0310957370873703,1.268809089933023
AC+CBF+UE,AC+CBF+UE,0,6,1.11,0.89
AC+CBF+UE,AC+CBF+UE,0,7,1.5538294227671858,0.77
AC+CBF+UE,AC+CBF+UE,0,8,2.02,0.78
AC+CBF+UE,AC+CBF+UE,0,9,2.16,1.0551179960997463
AC+CBF+UE,AC+CBF+UE,0,10,1.8900000000000443,1.33
AC+CBF+UE,AC+CBF+UE,0,11,1.62,1.58
AC+CBF+UE,AC+CBF+UE,1,0,0.22,2.82
AC+CBF+UE,AC+CBF+UE,1,1,0.3682380833188421,2.46
AC+CBF+UE,AC+CBF+UE,1,2,0.5560871817867106,2.186793336304003
AC+CBF+UE,AC+CBF+UE,1,3,0.77,1.9214262990544608
AC+CBF+UE,AC+CBF+UE,1,4,0.9216515017632086,1.6382829246878647
AC+CBF+UE,AC+CBF+UE,1,5,1.0260993971286243,1.2753170291498763
AC+CBF+UE,AC+CBF+UE,1,6,1.11,0.89
AC+CBF+UE,AC+CBF+UE,1,7,1.5542785251896378,0.77
AC+CBF+UE,AC+CBF+UE,1,8,2.02,0.78
AC+CBF+UE,AC+CBF+UE,1,9,2.16,1.0566122070833852
AC+CBF+UE,AC+CBF+UE,1,10,1.8899999999999928,1.33
AC+CBF+UE,AC+CBF+UE,1,11,1.62,1.58
AC+CBF+UE,AC+CBF+UE,2,0,0.22,2.82
AC+CBF+UE,AC+CBF+UE,2,1,0.3722223528423374,2.46
AC+CBF+UE,AC+CBF+UE,2,2,0.5585873081337757,2.1776326303635094
AC+CBF+UE,AC+CBF+UE,2,3,0.77,1.904389108988484
AC+CBF+UE,AC+CBF+UE,2,4,0.9146314842642996,1.6182667330051157
AC+CBF+UE,AC+CBF+UE,2,5,1.026779147248753,1.2656203687648744
AC+CBF+UE,AC+CBF+UE,2,6,1.11,0.89
AC+CBF+UE,AC+CBF+UE,2,7,1.5464646248773155,0.77
AC+CBF+UE,AC+CBF+UE,2,8,2.02,0.78
AC+CBF+UE,AC+CBF+UE,2,9,2.16,1.0573184663329285
AC+CBF+UE,AC+CBF+UE,2,10,1.88999999999971,1.33
AC+CBF+UE,AC+CBF+UE,2,11,1.62,1.58
AC+CBF+UE,AC+CBF+UE,3,0,0.22,2.82
AC+CBF+UE,AC+CBF+UE,3,1,0.3706734301988626,2.46
AC+CBF+UE,AC+CBF+UE,3,2,0.5482084186754402,2.177379830728643
AC+CBF+UE,AC+CBF+UE,3,3,0.77,1.9087767632555177
AC+CBF+UE,AC+CBF+UE,3,4,0.9229658036828216,1.6303384053072414
AC+CBF+UE,AC+CBF+UE,3,5,1.0273411656246536,1.2696229688576213
AC+CBF+UE,AC+CBF+UE,3,6,1.11,0.89
AC+CBF+UE,AC+CBF+UE,3,7,1.5558725329710028,0.77
AC+CBF+UE,AC+CBF+UE,3,8,2.02,0.78
AC+CBF+UE,AC+CBF+UE,3,9,2.16,1.0581504888258544
AC+CBF+UE,AC+CBF+UE,3,10,1.8899999999995631,1.33
AC+CBF+UE,AC+CBF+UE,3,11,1.62,1.58
AC+CBF+UE,AC+CBF+UE,4,0,0.22,2.82
AC+CBF+UE,AC+CBF+UE,4,1,0.3756000686723413,2.46
AC+CBF+UE,AC+CBF+UE,4,2,0.559752841490097,2.184383126244648
AC+CBF+UE,AC+CBF+UE,4,3,0.77,1.9183653876370448
AC+CBF+UE,AC+CBF+UE,4,4,0.923149212114671,1.6340169035925245
AC+CBF+UE,AC+CBF+UE,4,5,1.0337314013419172,1.2756751380043188
AC+CBF+UE,AC+CBF+UE,4,6,1.11,0.89
AC+CBF+UE,AC+CBF+UE,4,7,1.5519200998801266,0.77
AC+CBF+UE,AC+CBF+UE,4,8,2.02,0.78
AC+CBF+UE,AC+CBF+UE,4,9,2.16,1.0591160936545596
AC+CBF+UE,AC+CBF+UE,4,10,1.889999999999557,1.33
AC+CBF+UE,AC+CBF+UE,4,11,1.62,1.58
AC+CBF+AER,AC+CBF+AER,0,0,0.22,2.82
