stress_multiplier,method,short,violation_rate_mean,violation_rate_std,violation_count_mean,known_static_violation_rate_mean,known_static_violation_rate_std,known_static_violation_count_mean,uncertain_true_violation_rate_mean,uncertain_true_violation_rate_std,uncertain_true_violation_count_mean,min_clearance_cm_mean,min_clearance_cm_std,min_known_static_clearance_cm_mean,min_known_static_clearance_cm_std,min_uncertain_true_clearance_cm_mean,min_uncertain_true_clearance_cm_std,cost_mean,cost_std,belief_center_rmse_cm_mean,belief_center_rmse_cm_std,goal_error_cm_mean,reached_rate
2.2,AC+CBF,AC+CBF,0.00214285714285712,0.003194382824999675,0.6,0.0,0.0,0.0,0.00214285714285712,0.003194382824999675,0.6,0.9352368448667849,1.438473975100577,3.897894480928872,1.683071310753923,0.9352368448667849,1.438473975100577,10.248126982451897,4.442897318834578,5.488060473923982,0.9990595921637921,4.931969002235627,1.0
2.2,AC+CBF+PER,AC+CBF+PER,0.0028571428571428402,0.0046565731465733114,0.8,0.0,0.0,0.0,0.0028571428571428402,0.0046565731465733114,0.8,1.0269386264939062,1.3913695466031182,3.8170872590950418,1.4832722874070112,1.0269386264939062,1.3913695466031182,11.045161749938647,6.863455129154857,5.488060473923982,0.9990595921637921,4.86235137459312,1.0
2.2,AC+CBF+UE,AC+CBF+UE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.058404117361158,0.6952399471350734,3.3031764135924626,1.2160213617084068,5.420944748343788,1.160780949324967,7.466848123804111,0.3601893195912585,4.402708465928296,0.9289282228775755,4.750527219942893,1.0
2.2,AC+CBF+AER,AC+CBF+AER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5996690099185935,0.9058130162200396,3.9333350221405476,1.7235860692347544,2.794278037029643,1.0404045585667863,6.9860230587143075,0.2986680368092257,5.488060473923982,0.9990595921637921,4.757021255392788,1.0
2.2,Full,Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.057820411867655,0.7820419399170194,3.231916190783532,1.163879179262552,6.024014994516527,1.0627059043848996,7.236028415884297,0.3738393071901527,3.1148592617520885,0.34929363717189565,4.6504117631884885,1.0
2.6,AC,AC,0.0057142857142857,0.009313146293146628,1.6,0.0,0.0,0.0,0.0057142857142857,0.009313146293146628,1.6,0.09712052030378333,0.9924529573378063,2.2420807374195335,0.17602269285893393,0.09712052030378333,0.9924529573378063,14.63213172292705,13.558781139015927,6.445389642691362,1.1483411487789474,4.620772167684164,1.0
2.6,AC+CBF,AC+CBF,0.0028571428571428402,0.004656573146573312,0.8,0.0,0.0,0.0,0.0028571428571428402,0.004656573146573312,0.8,0.525254697031573,1.0738198858531243,3.8562633942342943,1.6592274146148436,0.525254697031573,1.0738198858531243,11.284487254337634,6.555174097682331,6.445389642691362,1.1483411487789474,4.823626467197615,1.0
2.6,AC+CBF+PER,AC+CBF+PER,0.00357142857142854,0.006185895741317382,1.0,0.0,0.0,0.0,0.00357142857142854,0.006185895741317382,1.0,0.6147177815452654,1.259436785927396,3.7665584158955037,1.508660282937548,0.6147177815452654,1.259436785927396,12.074508566183958,9.152080501844326,6.445389642691362,1.1483411487789474,4.899582155191765,1.0
2.6,AC+CBF+UE,AC+CBF+UE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8245319727655613,0.5189675836971537,3.326054324990179,1.583250944853993,5.000911496926408,1.6021974561450512,7.512924513255776,0.45915691188208047,5.187372439504967,1.0466721287213516,4.778557799658776,1.0
2.6,AC+CBF+AER,AC+CBF+AER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.170286811593006,0.7051881802238131,3.8536351923497265,1.708207759280418,2.275000294594367,0.8678759450904407,6.980656730702752,0.33729876960097094,6.445389642691362,1.1483411487789474,4.7381943641964845,1.0
2.6,Full,Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8520642933023415,0.5529951606013622,3.29245779274628,1.505997641958219,5.965294839439987,1.4013072473561166,7.335245515186233,0.4802312560378045,3.519910319218455,0.38788122814499854,4.734687419811438,1.0
3.0,AC,AC,0.00785714285714284,0.012474463711837814,2.2,0.0,0.0,0.0,0.00785714285714284,0.012474463711837814,2.2,-0.30559477078370795,1.1454969737943002,2.2217288011335556,0.20307858476285662,-0.30559477078370795,1.1454969737943002,17.75218547955903,18.164724840904665,7.494045483426109,1.3863619307909472,4.959800588594598,1.0
3.0,AC+CBF,AC+CBF,0.00357142857142856,0.005050762722761041,1.0,0.0,0.0,0.0,0.00357142857142856,0.005050762722761041,1.0,0.30353413330455997,1.146107014118249,3.6441637464131262,1.686534280537551,0.30353413330455997,1.146107014118249,12.453522842758598,7.135776975695544,7.494045483426109,1.3863619307909472,5.0144056498120175,1.0
3.0,AC+CBF+PER,AC+CBF+PER,0.0057142857142857,0.008222046023729505,1.6,0.0,0.0,0.0,0.0057142857142857,0.008222046023729505,1.6,0.3473383075432035,1.3925068099208466,3.6288940477791085,1.6038330455993217,0.3473383075432035,1.3925068099208466,15.315889686230552,11.96627001681559,7.494045483426109,1.3863619307909472,4.915093068322994,1.0
3.0,AC+CBF+UE,AC+CBF+UE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.581787455588774,0.41619375292106014,3.3690351163504557,2.0002460227073655,4.845721756529882,1.7593459764558277,7.935934027833964,0.872151101177232,5.7896834888405575,1.1410796996262307,4.702021040387595,1.0
3.0,AC+CBF+AER,AC+CBF+AER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0075420365613352,0.7983186775795856,3.6639214773035675,1.7541338093386019,2.1702659052403197,1.041385174197449,7.128618354293058,0.46867348022265,7.494045483426109,1.3863619307909472,4.881459275340122,1.0
3.0,Full,Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6793004776056764,0.5342325101166753,3.190553022977812,1.6453716582910547,5.82717264360036,1.580949285293573,7.650255852384797,0.7529535293043587,3.776958031408417,0.4378564502765595,4.755196975326217,1.0
3.5,AC,AC,0.00857142857142854,0.011736911946539247,2.4,0.0,0.0,0.0,0.00857142857142854,0.011736911946539247,2.4,-0.5502278800206482,0.9792932598089098,2.208121393605315,0.21874779621090276,-0.5502278800206482,0.9792932598089098,18.782081204950913,17.09540952562651,8.627876139552104,1.6682953410601737,4.837937735224824,1.0
3.5,AC+CBF,AC+CBF,0.00428571428571428,0.00586845597326963,1.2,0.0,0.0,0.0,0.00428571428571428,0.00586845597326963,1.2,-0.05442924143980119,0.9941421061618914,3.564905271758269,1.520284423197374,-0.05442924143980119,0.9941421061618914,13.550357447347551,8.49865838951935,8.627876139552104,1.6682953410601737,4.740945507040167,1.0
3.5,AC+CBF+PER,AC+CBF+PER,0.0057142857142857,0.008222046023729505,1.6,0.0,0.0,0.0,0.0057142857142857,0.008222046023729505,1.6,-0.0008595125666535308,1.3222325897024547,3.5938421910016864,1.5636975784472646,-0.0008595125666535308,1.3222325897024547,15.388679769541687,11.971898286360874,8.627876139552104,1.6682953410601737,4.7951351487165725,1.0
3.5,AC+CBF+UE,AC+CBF+UE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4731711262245257,0.3859320947079632,3.3935758420523134,2.125424762023851,4.454527042141107,2.000058617730948,8.213287746760859,1.156670703960146,6.5923341088055425,1.3467447829389059,4.837969613010567,1.0
3.5,AC+CBF+AER,AC+CBF+AER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.633926162316635,0.8192568822108469,3.6022384864581967,1.5779653907249824,1.8089618624155346,1.1003633612385793,7.195812130235528,0.5430886740460554,8.627876139552104,1.6682953410601737,4.7552046926640985,1.0
3.5,Full,Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4129908738774986,0.27921958798723934,3.3151227949772086,2.1274130105373223,5.98484060507869,1.9930582935134589,7.920197766909472,0.9895946239156135,4.18007310090834,0.5204804074685391,4.871651588099089,1.0
4.0,AC,AC,0.00999999999999998,0.013219111088086946,2.8,0.0,0.0,0.0,0.00999999999999998,0.013219111088086946,2.8,-0.6598893219033803,0.7470721586233361,2.2010932961209133,0.23758450065365025,-0.6598893219033803,0.7470721586233361,20.85894805052248,19.250414762049097,9.974739439945298,1.6991111559557475,4.813396950583802,1.0
